Variables	Estimate	OddsRatio
Bac.STI.ever1	2.002	7.403848999
Herpes.ever1	0.7925	2.208911809
Genwarts.ever1	0.7925	2.208911809
any.sx.pain1	-0.9069	0.403773985
sx.pain.50.over1	-1.417	0.242440248
sx.pain.1001	-0.5366	0.584732969
contraception.H1	1.54E-05	1.00001544
contraception.S.S1	-1.90E-05	0.99998102
contraception.S.P1	-8.94E-06	0.999991062
contraception.B.M1	-0.7315	0.481186668
contraception.B.F1	NA	NA
contraception.C.IUD1	-17.9	1.68317E-08
HContr.Progestin.pill1	NA	NA
HContr.Combination.pill1	1.30E-07	1.00000013
HContr.nuvaring1	NA	NA
HContr.mirena1	-1.461	0.232004155
HContr.depoprovera1	NA	NA
HContr.orthoevra1	NA	NA
contr_type1	0.000228	1.000228026
contr_type2	1.386405	4.00044258
contr_type3	-19.818832	2.47053E-09
condoms.48h1	-0.1145	0.891811938
probiotics.2.months1	0.3642	1.439362058
days.since.LMP	0.02706	1.027429447
weeks.since.LMP	0.1894	1.208524266
weeks.since.LMP.cat2	0.3045778	1.356052357
weeks.since.LMP.cat3	-0.0002636	0.999736435
weeks.since.LMP.cat4	-1.4077684	0.244688722
weeks.since.LMP.cat9	9.2890876	10819.30806
CST.cat2	-18.9715	5.76477E-09
CST.cat3	0.7638	2.146417128
CST.cat4	2.5266	12.51089669
CST.cat6	1.8687	6.479867094
CST.cat7	18.1606	77098933.06
