"","variable","glm.eBH","kw.eBH","signif"
"1","Nugent.score",8.95849493357252e-16,9.79891764128091e-13,TRUE
"2","BV.ever",0.0324906593350342,0.0821291994653776,FALSE
"3","Yeast.ever",0.848484606048884,0.866512116320561,FALSE
"4","UTI.ever",0.907362773334631,0.858229598028084,FALSE
"5","Trich.ever",0.922753182773538,0.897231719609536,FALSE
