,Var1,freq,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15
1,Caudovirales,2,2,0,0,0,0,0,0,0
2,Siphoviridae,70,13,0,5,0,0,0,51,1
3,Podoviridae,20055,200,1,1,321,1,3,1,19527
4,Myoviridae,347,346,0,0,1,0,0,0,0
5,Lactobacillus phage,1,0,0,0,0,0,0,1,0
