"","Viral_Species","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Total_Reads"
"764","1308863",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
"765","1315265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
"768","1325731",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"775","1327993",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3
"779","1340769",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
"781","1349409",1,0,3,0,1,1,1,1,1,0,1,0,25,1,0,3,7,0,0,0,0,46
"782","1349410",10,1,11,5,18,13,9,14,3,12,15,8,38,6,1,34,20,2,8,14,11,253
"783","1352511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16
"788","1367205",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,5,0,0,0,9
"790","1391034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11
"792","1391702",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"794","1398177",2,0,2,1,1,1,2,3,1,2,3,0,0,1,0,1,0,0,2,1,0,23
"795","1399941",0,0,0,0,1,0,0,1,1,0,8,0,21,0,0,0,0,11,8,0,0,51
"797","1401297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
"798","1406780",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
"799","1406792",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"800","1412875",0,0,0,0,1,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,96
"803","1416334",0,0,24,0,4,0,0,0,12,0,2,32,0,0,1,0,0,12267,433,0,0,12775
"805","1421421",9,1,5,8,8,1,4,3,5,10,5,3,4,2,24,0,5,0,0,3,7,107
"806","1421422",5,1,4,6,1,2,2,2,3,1,6,3,30,2,0,8,16,1,3,3,4,103
"807","1421423",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,4
"810","1429768",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3
"817","1450746",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,7
"819","1458717",0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,87
"820","1458842",0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,0,0,45
"824","1461100",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,17
"829","1472342",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"830","1472717",8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
"831","1472911",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3
"837","1484571",3,0,0,4,0,6,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,17
"838","1484958",17,0,14,10,12,12,4,9,4,13,12,7,7,15,103,13,14,3,26,12,11,318
"839","1486429",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18
"845","1498168",0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4
"847","1500386",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15
"850","1500801",0,0,27,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,32
"852","1510155",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"853","1518022",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
"859","1527771",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"868","1540097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"871","1552735",0,0,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,0,2,98
"878","1567011",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
"879","1567012",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
"880","1567014",3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,8
"881","1567453",0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14
"882","1567484",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8
"884","1572704",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
"885","1572754",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"889","1589274",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
"890","1589298",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
"894","1597976",0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,6
"895","1605721",3,1,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,0,1,2,1,18
"899","1610831",10,11,9,6,13,6,6,12,3,7,3,8,16,11,4,4,25,1,8,16,10,189
"900","1610872",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,5
"904","1623298",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"909","1636270",1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"912","1640885",3,0,0,0,0,0,3,4,2,11,1,0,0,0,0,0,0,0,0,0,4,28
"913","1640978",0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,10
"914","1642929",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"915","1647300",0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,1,0,0,424
"916","1647385",0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,7
"921","1654582",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
