"","Var1","freq","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"36","Myoviridae",27103,94,51,125,114,114,60,61,131,88,45,69,83,575,58,10,265,148,8690,0,95,61,557,273,7,78,141,297,128,74,31,72,4503,71,57,371,131,9,155,6872,284,136,51,70,181,87,648,273,29,51,61,49,29,369,21
"37","Nimaviridae",267,2,4,12,4,4,8,11,9,3,3,1,2,15,4,0,12,4,0,0,3,3,1,5,0,0,4,6,0,6,3,2,0,4,0,4,7,0,6,49,0,6,1,0,16,11,1,0,3,4,0,1,4,19,0
"38","Nodaviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Nudiviridae",53,1,0,0,1,1,0,0,3,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,1,0,3,1,0,0,0,0,0,2,0,1,2,8,0,9,0,0,0,0,8,0,3,0,0,1,1,0,1,0,0
"40","Other dsDNA Viruses",872,12,8,37,27,27,25,27,26,18,12,19,8,17,14,15,28,32,8,0,21,18,29,18,22,16,30,21,5,4,21,3,2,21,6,19,37,2,13,12,2,40,2,28,32,4,3,11,8,15,0,13,16,16,2
"41","Other Phages",1074,6,25,0,1,1,0,3,1,2,2,3,1,235,24,0,5,31,2,0,3,0,34,0,0,0,1,0,4,8,73,45,7,2,35,8,2,3,4,128,3,1,4,70,0,15,0,255,1,3,17,2,2,2,0
"42","Other ssDNA viruses",19,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Other ssRNA negative viruses",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"44","Other ssRNA positive viruses",17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"45","Other Viruses (unclassified)",10470,15,6,12,11,11,2,3,6,8,2,4,24,769,0,6,10,1,14,0,2,2,38,75,2,12,53,138,25,108,23,83,18,3,53,4606,8,256,25,3657,47,17,1,8,10,30,1,132,2,1,1,3,5,119,2
"46","Pandoraviridae ",3015,129,19,70,115,115,102,78,138,66,65,58,37,28,59,17,56,104,12,0,98,43,20,128,15,26,36,26,23,19,41,17,2,161,18,14,92,10,57,30,2,200,19,16,131,16,2,6,84,98,3,97,155,35,7
"47","Papillomaviridae",5492132,778,20,23876,11645,11645,562,441,722,385,538,2179,566,452,8367,1577160,580,574,613,1509,468,328,2430,4057,277,368,417,6361,31590,2887,4478,525,380,610,1287943,9596,1137,379,773184,6439,107,258899,1604,1294523,1571,181,104,156173,393,279,304,852,390,86,200
"48","Paramyxoviridae",60,0,3,1,1,1,2,4,0,1,1,2,0,2,2,1,3,1,1,0,3,1,0,0,0,2,1,0,0,0,2,0,0,2,1,2,3,2,1,1,0,0,0,1,0,0,0,1,3,3,0,0,4,1,0
"49","Parvoviridae",33,1,0,0,1,1,0,1,0,0,0,0,0,4,0,1,2,0,0,0,0,0,1,0,2,1,0,1,0,0,3,0,0,2,0,0,0,0,1,3,1,1,0,1,0,0,0,0,2,0,0,1,2,0,0
"50","Phycodnaviridae",36121,878,437,1080,1563,1563,890,601,1086,614,497,651,571,1688,486,703,904,1212,125,0,706,608,335,903,339,569,1857,421,19,211,617,308,28,753,94,100,1101,350,945,1162,91,1396,84,164,1701,506,1533,161,367,590,181,544,466,1226,136
"51","Picornaviridae",375,0,0,1,5,5,2,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,336
"52","Podoviridae",37092,65,23,181,86,86,22,92,107,34,20,20,1947,4086,30,289,4074,100,72,0,94,352,239,38,8,154,517,582,36,492,295,175,8253,23,131,104,46,3705,124,1031,480,132,193,956,69,28,1124,1267,9,20,4559,14,17,309,182
"53","Polydnaviridae",7486,285,56,140,275,275,185,170,350,150,133,163,77,39,157,20,112,242,19,0,210,104,41,264,7,70,45,47,7,30,73,41,11,357,50,18,229,18,109,72,6,1245,32,21,179,18,3,21,240,253,9,301,432,48,27
"54","Polyomaviridae",393,1,0,0,2,2,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,1,5,3,0,0,0,1,0,0,22,0,4,0,0,0,0,3,0,146,1,1,1,2,0,0,1,0,1,1,185,0,0,0,0
"55","Potyviridae",17,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,2,1,0,0
"56","Poxviridae",403,1,2,240,7,7,4,4,2,2,1,4,2,6,3,2,1,5,0,0,1,2,2,2,1,3,8,2,0,1,3,1,2,4,1,4,7,6,1,5,0,7,2,1,6,4,9,0,3,6,2,5,5,4,0
"57","Reoviridae",121,89,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0,3,0,0,0,0,1,0,0
"58","Retroviridae",1575,58,13,61,78,78,45,44,71,30,31,26,17,42,28,5,33,70,5,0,43,25,10,34,1,19,123,23,0,8,23,7,2,32,3,5,49,13,48,73,1,65,4,9,75,10,14,4,11,34,1,29,25,11,6
"59","Rhabdoviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"60","Secoviridae",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"61","Siphoviridae",75657,48,11,638,88,88,7,15,37,861,13,93,62,3285,16,49,84,1186,1629,4,19,28,2550,486,32,313,334,345,98,1335,194,418,1672,21,234,7806,198,2470,329,34190,355,127,677,1244,117,154,1138,9420,10,57,316,18,12,715,11
"62","Streptococcus phage",620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,5,0,0,0,0,0,0,467,0,0,0,1,0,0,0,134,0,0,0,0,0,0,0
"63","Togaviridae",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Totiviridae",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Turriviridae",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Tymoviridae",54,2,1,0,1,1,2,3,1,0,2,0,0,2,0,0,5,2,0,0,1,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,7,1,1,3,0,1,3,0,2,0,2,1,0,0
"67","Vibrio phage",226,0,1,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,0,1,40,0,0,0,1,1,95,2,4,23,4,0,6,0,0,0,2,0,0,0,0,0,3,0
"68","Virgaviridae",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
