,Viral_Families,freq,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.70,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106,Vogue1B.01.01,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.52,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15,Vogue1A.01.69,Vogue1A.01.71,Vogue1A.01.77,Vogue1B.01.03,Vogue1B.01.27,Vogue1B.01.51
12,Ampullaviridae,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,Anelloviridae,981,10,1,0,2,2,78,3,0,0,0,4,0,342,1,0,0,3,1,4,1,0,17,3,0,100,3,2,0,3,18,55,1,29,13,2,94,91,0,53,1,0,1,2,0,6,0,1,0,6,0,1,2,1,24
14,Ascoviridae,19,1,0,0,1,1,0,1,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
15,Asfarviridae,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Astroviridae,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Baculoviridae,1985,44,16,44,67,67,40,34,26,23,20,60,5,37,39,10,0,36,27,14,15,21,48,17,6,14,25,26,3,42,3,11,12,38,48,5,55,1,9,73,12,14,42,32,1,467,50,51,6,56,26,27,52,51,17
18,Bicaudaviridae,87,1,0,4,1,1,1,2,1,1,3,9,1,4,2,0,0,1,2,0,0,0,2,1,0,1,1,2,0,1,0,0,3,1,1,0,3,0,1,6,5,2,0,1,0,0,5,6,1,0,1,1,2,5,1
19,Bunyaviridae,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20,Caliciviridae,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Caulimoviridae,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chrysoviridae,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Circoviridae,25,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0
24,Closteroviridae,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,Coronaviridae,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Endornaviridae,7,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
27,Flaviviridae,23,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,2,0,0,0,3,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0
28,Fuselloviridae,104,1,0,0,4,4,7,11,2,8,3,1,0,13,1,0,0,3,0,1,0,0,1,1,0,0,0,0,5,4,2,0,0,6,2,0,2,0,0,4,0,0,5,1,0,1,3,0,0,0,3,0,3,2,0
29,Hepadnaviridae,112,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Hepeviridae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,Herpesviridae,1681573,286,55,303,421,424,629,248,203,240,213,693,124,209,290,71,1,259,265,1377,1657672,207,393,275,179,3136,228,3026,292,343,186,3881,96,277,81,49,294,77,161,331,50,110,432,259,109,686,323,145,74,498,240,278,393,408,73
32,Hytrosaviridae,184,1,1,1,0,0,4,0,4,0,0,139,0,0,4,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,4,0,0,2,0,0,0,0,0,5,1,1,0,1,0,1,3,3,0
33,Iridoviridae,677,29,0,13,23,23,19,19,5,20,10,49,0,6,20,5,0,21,18,2,1,9,4,1,0,5,5,2,1,38,4,1,2,10,3,0,25,2,4,25,2,4,17,28,1,42,50,4,0,28,8,17,25,26,1
34,Lipothrixviridae,164,0,0,0,0,0,0,0,0,0,13,1,4,4,0,0,0,0,1,39,1,0,2,0,0,0,1,0,8,0,1,0,0,0,1,0,2,0,45,3,0,18,0,1,8,2,0,8,0,0,0,1,0,0,0
35,Luteoviridae,20,0,0,0,1,1,0,0,0,0,0,3,1,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
36,Marseilleviridae,10,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,Microviridae,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,Mimiviridae,873,48,76,15,5,5,1,3,3,3,0,26,3,3,9,2,0,11,1,4,1,6,9,4,16,11,4,1,2,3,367,29,1,2,6,4,4,75,10,6,1,3,2,5,16,8,9,1,7,9,1,10,5,12,5
39,Mycodnaviridae,11,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Nimaviridae,278,2,4,12,4,4,8,11,3,1,2,19,0,12,5,0,0,3,3,1,0,1,4,6,0,6,3,2,0,4,0,4,0,6,49,0,7,1,0,16,1,1,3,5,0,2,4,19,0,9,3,4,5,8,11
41,Nodaviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Nudiviridae,56,1,0,0,1,1,0,0,0,1,0,1,0,0,2,1,0,1,2,0,1,0,3,1,0,0,0,0,0,2,0,1,8,0,9,0,0,0,0,8,3,0,0,1,1,1,1,0,0,3,0,0,0,2,0
43,Other dsDNA Viruses,997,12,9,37,27,27,25,28,19,19,8,19,15,28,35,8,0,21,18,29,22,16,30,21,5,4,21,3,14,21,6,20,2,14,12,2,40,2,28,32,3,11,8,15,1,114,16,16,3,26,12,14,18,37,4
44,Other Phages,1078,6,25,0,1,1,1,3,2,3,1,235,0,5,31,2,2,3,0,34,0,0,1,0,4,8,73,45,7,2,35,8,4,4,128,3,1,4,70,0,0,255,1,3,17,2,2,2,0,1,2,24,0,2,15
45,Other ssDNA viruses,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,3,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Other ssRNA negative viruses,10,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,Other ssRNA positive viruses,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
48,Pandoraviridae,3335,129,21,77,121,118,104,80,67,59,38,98,20,56,110,12,1,101,60,21,15,26,37,26,26,21,43,18,6,162,20,15,15,58,31,3,200,20,19,134,2,6,93,100,3,233,158,35,7,138,69,60,133,93,17
49,Papillomaviridae,5493182,778,20,23876,11654,11646,562,441,385,2179,566,453,1577237,580,574,616,1515,468,328,2430,277,368,417,6361,31590,2887,4478,525,380,611,1287957,9596,379,773184,6439,107,259830,1604,1294524,1571,104,156173,394,279,304,855,391,86,200,722,539,8367,4057,1137,181
50,Paramyxoviridae,78,2,5,1,1,1,2,5,1,2,1,2,1,3,1,1,0,4,2,0,0,4,1,0,0,1,3,0,1,2,1,2,3,2,1,0,0,0,1,0,0,1,3,3,0,0,4,1,0,0,3,2,0,4,0
51,Parvoviridae,33,1,0,0,1,1,0,1,0,0,0,4,1,2,0,0,0,0,0,1,2,1,0,1,0,0,3,0,0,2,0,0,0,1,3,1,1,0,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0
52,Phycodnaviridae,36971,878,439,1082,1564,1567,898,601,620,654,572,1759,794,904,1212,125,1,706,611,337,341,574,1860,421,21,213,618,309,29,756,95,102,350,945,1166,91,1397,84,168,1704,1533,162,382,593,181,1121,469,1227,136,1086,498,487,913,1103,512
53,Picornaviridae,8883,7,22,127,14,12,9,7,9,9,12,1,1,1,13,9,6571,7,3,12,1269,11,19,8,10,6,17,14,0,15,7,8,8,8,8,5,4,4,13,6,5,104,20,0,2,0,10,45,341,4,18,7,16,16,9
54,Polydnaviridae,8283,285,64,383,276,281,195,172,153,168,82,184,21,112,244,19,10,214,216,41,12,75,49,51,10,32,78,44,19,361,51,18,28,109,73,7,1251,33,35,180,4,32,258,257,9,389,433,51,31,352,148,158,271,235,19
55,Polyomaviridae,393,1,0,0,2,2,0,0,0,0,5,3,0,2,0,0,0,0,1,5,0,0,0,1,0,0,22,0,4,0,0,0,3,0,146,1,1,1,2,0,1,0,1,1,185,0,0,0,0,0,0,0,3,0,0
56,Potyviridae,37,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,5,0,1,2,0,0,0,0,1,1,1,0,0,3,0,2,1,1,0,2,2,1,0,1,1,1,0,0,0
57,Poxviridae,413,2,2,240,7,7,4,4,2,4,2,6,2,1,5,0,0,1,3,3,1,3,8,2,0,1,3,2,2,4,1,4,9,1,5,0,7,2,1,6,10,0,3,6,2,5,5,4,1,2,2,3,2,7,4
58,Reoviridae,378,96,7,1,9,0,39,1,6,2,3,2,1,0,2,0,0,3,1,0,0,5,33,4,2,2,2,0,0,4,1,3,1,1,2,3,17,1,6,84,2,7,0,0,1,0,3,0,3,7,4,4,1,2,0
