"","Virus_Type","Vogue1A.01.61","Vogue1A.01.101","Vogue1B2.01.11","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.106","Vogue1B.01.01","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77","Vogue1B.01.03","Vogue1B.01.48"
"1","dsDNA_RT",0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Phage",741,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","ssRNA_RT",14,10,5,7,1,3,21,7,1,25,1,3,13,6,5,6,1,2,8,45,1,2,6,5,0,2183,11,2,1,12,7,3,20,3,8,5,3,79,7,0,3,3,0,7,3,3,6,8,5,4,13,3,7,5
"4","unclassified_viruses",5,0,1,10,9,3,2,2,36,795,1,37,2,94,12,2,19,0,14,47,134,18,57,22,40,17,5,44,4788,3,263,34,2633,446,12,0,9,48,0,45,0,1,0,0,153,2,0,0,0,0,0,0,0,0
"5","Viral_DNA",9704,519,422,822,169,4022,582,621,526,2069,1099277,1028,655,361,285146,485,2460,1090832,395,1019,4306,18157,4215,2820,2273,382,599,769703,8952,969,351,478947,4974,1113,147100,1137,717984,506,412,95532,1262,355,523,2804,392,184,682,421,598,326,1352,4237,2571,1339
"6","Viral_RNA",75,4,3,15,11,10,12,6,8,24,4,83,14,1,2798,2,4,347,8,56,21,132,4,10,11,1,12,6,5,14,5,14,10,11,13,4,9,4,56,45,6,2,5,1,26,10,86,6,7,4,6,5,11,23
