"","Viral_Species","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Total_Reads"
"422","364745",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"424","372443",16,92,11,70,225,33,1,21,57,24,3,67,8,5,103,18,96,97,303,161,10,5,163,5,73,1667
"425","372457",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"428","379529",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"431","381899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,6
"432","384848",8,0,0,10,0,0,18,184,0,0,0,1,0,0,7,0,0,0,0,0,9,0,0,0,0,237
"436","396034",0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16
"437","399781",1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"438","413066",0,0,0,0,1,0,0,0,0,0,13,1,16,0,0,0,0,5,0,0,0,0,0,0,0,36
"441","419435",4,10,6,12,3,4,0,5,8,34,1,48,12,1,25,12,11,5,6,1395,5,4,15,0,1,1627
"446","431894",0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6
"448","432261",0,0,0,0,0,7,0,0,0,0,0,1,0,3,0,0,0,0,8,0,0,0,0,0,0,19
"450","438045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
"451","438780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,869,0,0,0,0,2,0,0,888
"454","445684",1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"457","445688",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"458","446529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3
"459","447909",19,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26
"461","458639",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,22
"462","459845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,1,125
"465","471183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
"466","471184",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
"468","471186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,10
"469","475178",22,0,0,0,0,0,0,0,2,26,0,0,0,81,1,0,2,1,0,0,76,0,0,2,0,213
"475","490711",1,5,0,0,2,3,0,0,14,0,0,1,1,3,2,0,1,0,3,3,1,0,2,3,0,45
"476","490892",0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"478","496874",15,22,0,0,0,0,0,15,2,0,0,1,69,3034,4,0,3,0,0,1,2,35,0,0,0,3203
"480","518830",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"481","523909",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"484","537874",0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,2,4634,0,0,0,0,0,0,0,4642
"486","540068",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"488","542836",0,0,0,0,0,0,0,0,0,1,2458,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2460
"494","549779",0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,7
"495","551790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10
"496","558016",1,0,0,1,4,0,0,5,1,0,0,1,0,0,3,0,1,0,1,3,2,0,4,0,0,27
"499","566270",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"501","573174",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"502","573175",0,0,0,0,3,12,1,0,1,36,0,0,2,0,0,111,2,6,491,2,0,0,0,0,0,667
"503","573176",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"506","578234",0,9,0,40,0,0,0,1,0,0,0,0,24,1332,3,0,15,0,0,1,0,0,0,0,0,1425
"507","587348",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"509","632112",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,24
"510","633135",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8
"511","644007",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3
"512","646413",0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,11189,0,2,0,0,1,0,0,11198
"514","654911",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"516","654926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,10
"521","682370",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,26
"522","687329",1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,4,0,0,1,0,16
"524","687349",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12
"525","687350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29
"528","691964",11,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,0,0,7,0,0,0,0,50
"530","693272",0,0,1,1,0,0,0,6,0,0,0,1,2,1,1,0,0,10,0,0,0,1,0,0,0,24
"532","696069",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"533","696746",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"537","735496",0,1572,2,0,0,0,0,0,1,4,0,0,11,0,1,1,532,28,1,2,1,139,0,0,0,2295
"538","741942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
"540","746832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7
"541","749413",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10
"544","754042",0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
"547","754053",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
"548","754057",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
"549","754068",0,0,0,0,3,0,0,0,1,3,0,0,1,0,1,0,1,0,0,4,0,0,2,0,0,16
"550","755164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,29
"552","755273",0,1,1,0,2,2,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,0,1,0,0,13
"556","759389",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"560","764030",0,3,0,8,40,8,0,4,2,4,0,7,1,0,5,4,13,7,3,12,2,0,13,0,98,234
"561","764561",0,0,0,0,0,0,0,170,0,0,1,0,0,8,0,0,0,0,0,0,2,0,0,0,0,181
"564","765051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"565","765052",0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,166
"566","765054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26
"567","765056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,43
"572","857312",0,2,0,0,0,0,0,0,0,1,1,0,0,25,0,0,0,1,0,0,0,0,1,0,0,31
"577","871584",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11
"583","889812",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3
"587","908819",0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,23
"588","909331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,18
"589","909333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
"592","912321",13,0,0,0,2,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23
"593","915425",0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,2,14,0,0,0,0,0,0,0,177
"594","915427",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"595","915428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7
"596","915429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,19
"597","925984",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"599","927771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
"600","927810",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"604","931209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,4
"605","931210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
"606","931244",0,0,0,2,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,30,3,2464,2,0,0,2508
"607","933845",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"608","936059",0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,1,12
"613","942165",0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0,12
"614","944644",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,10
"616","947980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3
"619","980881",111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
"621","985780",2,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,39,0,0,0,0,0,0,48
"622","985782",1,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8
"623","988656",2,0,0,0,4,2,0,0,6,0,1,0,1,0,0,3,2,1,10,1,0,10,0,0,9,52
"625","990303",0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,1,0,0,2,1,1058,0,0,0,1071
"626","990305",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
"628","998086",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,7
"633","1034150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"634","1034771",0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30
"635","1034805",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"637","1048524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
"638","1051631",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2996,0,0,0,0,0,2,0,3001
"644","1070415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
"647","1074206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,197
"648","1079998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
"649","1084719",0,0,0,0,5,0,4,2,0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,18
"653","1109713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
"657","1114179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
"658","1126885",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"661","1127514",0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"662","1127516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"663","1128131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,41
"664","1128140",0,0,0,0,0,0,7,1,0,0,2,0,289,6,0,0,0,0,0,0,42,0,0,0,0,347
"672","1141137",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20
"673","1144381",0,0,0,0,3,0,0,0,1,0,0,1,0,0,2,0,3,0,0,3,0,0,0,0,1,14
"677","1147043",1,0,0,0,0,0,0,98,0,0,0,0,0,3,0,0,0,1,0,0,0,25,0,0,0,128
"679","1150990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
"681","1161901",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1219,0,0,0,1224
"684","1161939",0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"687","1165908",0,1,0,0,1,0,0,0,3,0,0,0,0,0,3,0,1,6,0,0,0,1,1,0,0,17
"688","1165934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,7
"691","1168837",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"693","1194091",0,7,1,1,2,1,0,4,1,0,2,2,0,1,4,0,5,1,1,6,0,0,4,1,1,45
"695","1195085",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3690,0,0,0,0,0,0,3691
"696","1195167",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
"698","1197952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16
"699","1204521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
"702","1204538",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,13
"703","1204539",0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17
"704","1206110",13,0,0,46,0,0,0,0,0,0,0,0,0,0,14,0,49,0,0,0,0,0,0,0,46,168
"705","1206898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14
"707","1211282",0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"709","1211417",0,0,0,0,0,0,0,0,32,40,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,91
"718","1235314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,5
"720","1235689",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"721","1239381",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,135
"723","1239386",0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
"726","1247379",1,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,1,2,37,1,0,0,1,0,0,49
"729","1273087",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,7,0,1,0,0,0,0,13
"735","1277891",5,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,0,0,0,5,0,0,0,22
"736","1278246",19,0,0,0,1,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,28
"737","1278247",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"740","1278254",0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,8
"745","1279083",5,1,0,0,13,8,3,24,9,3,2,1,0,6,1,125,0,17,147,3,0,49,2,1,119,539
"748","1285382",2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,6,0,0,0,1,0,0,0,13
"752","1289596",4,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,340,0,1,0,34,0,1,0,385
"753","1289597",0,0,0,0,0,0,0,195,0,0,13,0,0,0,0,0,0,98,0,0,0,0,0,1,0,307
"754","1289600",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"755","1289601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23
"758","1296660",10,0,0,0,0,0,0,6,0,0,8,0,2,0,0,0,0,46,0,0,0,24,0,0,0,96
"759","1298531",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4
"767","1325372",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
"770","1327037",0,1,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,1,0,0,0,5,0,47,0,80
"773","1327985",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
"775","1327993",3,0,0,0,0,0,48,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,59
"776","1328030",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,5
"778","1335230",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"781","1349409",0,1,0,0,1,0,36,0,1,1,0,0,0,0,3,0,1,0,2,21,1,0,4,3,0,75
"782","1349410",3,15,4,3,12,7,1,3,8,5,18,17,7,0,18,6,10,5,10,143,16,0,28,1,0,340
"785","1354512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
"786","1367203",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"788","1367205",0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16
"793","1392231",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,99
"794","1398177",0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,1,2,0,8,0,0,2,0,0,24
"795","1399941",449,25,0,15,0,10,0,0,1,0,2,0,0,17,0,0,1,1,153,0,0,2,0,42,0,718
"798","1406780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4
"803","1416334",0,0,0,15,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,57,77
"805","1421421",8,9,2,8,4,2,0,36,3,0,1,1,0,0,12,0,7,1,0,5,0,0,6,2,0,107
"806","1421422",1,5,0,2,49,1,0,1,4,5,0,3,0,0,7,0,6,17,1,13,1,1,11,2,110,240
"807","1421423",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
"808","1421424",0,1,0,0,2,0,1,0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,10
"811","1434987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8
"812","1434988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
"816","1449437",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
"817","1450746",0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20
"818","1458697",1,0,0,1,7,3,0,3,5,32,0,0,10,1,0,71,0,15,92,0,0,0,0,0,0,241
"819","1458717",1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"820","1458842",0,0,0,0,0,0,0,9,0,0,4,0,8,820,1,0,0,0,0,0,0,0,0,0,0,842
"824","1461100",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"825","1462581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,21
"829","1472342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
"836","1481186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
"837","1484571",0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,15,0,0,24
"838","1484958",3,14,4,15,7,9,10,131,6,35,4,24,16,25,62,14,71,9,32,167,151,172568,14,6,1,173398
"839","1486429",0,0,0,2,0,0,0,10,10,0,0,0,0,0,0,7,1,0,52,1,0,0,0,0,0,83
"841","1487700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14
"843","1493511",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
"845","1498168",0,0,0,1,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11
"847","1500386",0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15
"848","1500713",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
"849","1500757",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"850","1500801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,102
"853","1518022",723,0,0,0,0,1,0,0,0,4,0,0,1,129,0,0,3,0,219,0,26,0,0,0,0,1106
"855","1522092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
"858","1527770",0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,32
"861","1535248",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"863","1536603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,25,39
"864","1536605",0,0,0,3,0,5,0,0,1,1,0,0,0,0,0,38,1,4,44,0,0,0,0,0,0,97
"866","1537166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20
"871","1552735",0,0,0,30,0,5,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,79,0,132
"876","1566990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13
"880","1567014",0,1,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,32,0,1,0,50
"881","1567453",0,1,0,0,0,0,0,12,0,0,2,0,0,0,0,0,43,0,3,0,0,0,73,0,0,134
"882","1567484",0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,29,0,0,0,0,0,1,0,135
"883","1567485",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,2,173
"887","1582152",3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6
"888","1589270",30,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"892","1589751",0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
"894","1597976",0,0,0,2,1,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,8
"895","1605721",0,0,0,0,14,0,0,0,0,0,1,1,0,1,2,0,1,0,42,1,1,3,2,3,0,72
"897","1608100",0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,125
"899","1610831",5,4,1,6,22,1,0,2,2,0,1,12,4,1,7,0,13,6,3,24,1,1,26,1,1,144
"900","1610872",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7
"902","1622193",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,328,0,1,0,0,0,28,0,0,0,359
"904","1623298",6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,20
"905","1623300",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"906","1623303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,321
"907","1623304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877,0,0,0,0,0,0,0,1877
"909","1636270",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,49
"910","1636271",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9
"911","1636617",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4
"912","1640885",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,3,0,0,0,0,11
"913","1640978",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,7,0,0,1,0,0,0,16
"914","1642929",0,0,0,0,1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"917","1647386",0,0,0,0,0,0,0,7,0,0,0,0,9,893,0,0,0,0,0,0,0,0,0,0,0,909
"919","1647924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15
