"","Virus_Type","Vogue1B.01.01","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.51","Vogue1B.01.52","Vogue1B.01.03","Vogue1B.01.48"
"1","dsDNA_RT",0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Phage",2591,4,463,429,1207,260,1382,300,885,3499,38,386,7251,227,2846,432,41665,8408,164,639,1765,479,1308,0,0
"3","ssRNA_RT",1,2,8,45,1,2,6,5,0,2183,11,2,1,12,7,3,20,3,8,5,3,79,7,7,5
"4","unclassified_viruses",19,0,14,47,134,18,57,22,40,17,5,44,4788,3,263,34,2633,446,12,0,9,48,0,57,1
"5","Viral_DNA",2460,1090832,395,1019,4306,18157,4215,2820,2273,382,599,769703,8952,969,351,478947,4974,1113,147100,1137,717984,506,412,2571,1339
"6","Viral_RNA",4,347,8,56,21,132,4,10,11,1,12,6,5,14,5,14,10,11,13,4,9,4,56,11,23
