1,1
102294,102294
10239,10239
10258,Parapoxvirus
10279,Molluscipoxvirus
10280,Molluscipoxvirus
10292,10292
10293,10293
10298,Simplexvirus
10310,Simplexvirus
10317,Simplexvirus
10320,Varicellovirus
10325,Simplexvirus
1034150,Che8likevirus
10345,Varicellovirus
1034771,1034771
1034805,1034805
10353,Simplexvirus
10358,Cytomegalovirus
10359,Cytomegalovirus
10360,Cytomegalovirus
10362,Cytomegalovirus
10366,Muromegalovirus
10368,Roseolovirus
10370,Roseolovirus
10371,Percavirus
10374,10374
10375,Lymphocryptovirus
10376,Lymphocryptovirus
10377,Lymphocryptovirus
10381,Rhadinovirus
10397,10397
10398,Macavirus
10407,Orthohepadnavirus
10449,Alphabaculovirus
10454,Alphabaculovirus
10455,Alphabaculovirus
10456,Alphabaculovirus
104664,Mandarivirus
10479,Alphalipothrixvirus
1048520,1048520
1048524,1048524
10492,Ranavirus
10501,10501
10508,10508
10509,Mastadenovirus
1051631,1051631
1052673,Omegalikevirus
10566,10566
10570,Alphapapillomavirus
10573,Alphapapillomavirus
10576,Alphapapillomavirus
10579,Betapapillomavirus
10580,Alphapapillomavirus
10585,Alphapapillomavirus
10586,Alphapapillomavirus
10587,Alphapapillomavirus
10588,Alphapapillomavirus
10590,Alphapapillomavirus
10591,Alphapapillomavirus
10593,Alphapapillomavirus
10594,Betapapillomavirus
10595,Alphapapillomavirus
10596,Alphapapillomavirus
10598,Alphapapillomavirus
10604,Betapapillomavirus
10605,Betapapillomavirus
10606,Betapapillomavirus
10608,Betapapillomavirus
10611,Alphapapillomavirus
10614,Alphapapillomavirus
10615,Alphapapillomavirus
10618,Alphapapillomavirus
10632,Betapolyomavirus
106331,Lymphocryptovirus
106332,Lymphocryptovirus
10663,T4likevirus
10699,10699
1070408,Gammapapillomavirus
1070410,Gammapapillomavirus
1070415,Gammapapillomavirus
10724,Lambdalikevirus
1074206,1074206
10743,Lambdalikevirus
10744,10744
10747,10747
10748,10748
1079998,T4likevirus
108098,Mastadenovirus
1084719,1084719
110456,T7likevirus
11095,Pestivirus
1109713,1109713
1109714,1109714
1109715,L5likevirus
1109716,L5likevirus
11103,Hepacivirus
1114179,1114179
111469,Rhadinovirus
112023,Sfi21dtunalikevirus
1126885,1126885
1127514,1127514
1127516,1127516
1128131,1128131
1128140,1128140
1128424,1128424
1136534,1136534
1136535,Bcep22likevirus
1141137,Phieco32likevirus
1144381,Omikronpapillomavirus
1147042,1147042
1147043,1147043
1150990,1150990
1161901,1161901
1161927,1161927
1161939,1161939
1162290,1162290
11652,Lentivirus
1165908,Mastadenovirus
1165934,1165934
11676,Lentivirus
1168837,1168837
1168843,1168843
11723,Lentivirus
11775,Gammaretrovirus
11786,Gammaretrovirus
1194091,1194091
1195085,1195085
1195167,1195167
1195364,1195364
11976,Lagovirus
1197952,Phietalikevirus
120381,Alphapapillomavirus
1204521,1204521
1204525,1204525
1204538,T7likevirus
