"","Viral_Type","Vogue1A.01.61","Vogue1A.01.106","Vogue1B2.01.11","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1B.01.01","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77","Vogue1A.01.101","Vogue1B.01.03","Vogue1B.01.48"
"1","dsDNA_RT",0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Phage",735,66,13,127,90,265,92,50,377,8230,634,967,572,30455,4767,2569,9,458,419,1188,224,1327,294,572,3488,42,379,7245,227,2796,428,41623,8315,163,628,1757,469,1307,9143,11,67,565,134,1599,19820,12,36,69,974,105,44,73,1238,147
"3","ssRNA_RT",14,6,4,7,1,3,21,7,1,25,1,3,13,6,5,1,1,8,43,1,2,6,5,0,2183,11,2,1,12,6,3,20,3,8,5,3,79,7,0,2,2,0,6,3,3,6,8,5,4,13,3,10,7,5
"4","unclassified_viruses",5,2,1,10,9,3,2,2,36,940,1,37,2,94,12,38,0,14,47,134,20,58,22,40,17,5,44,4788,3,263,34,2633,446,12,0,9,51,0,45,0,1,51,0,153,2,2,0,0,0,1,0,1,1,1
"5","Viral_DNA",9702,479,419,818,168,4020,580,619,524,2169,1099276,1026,655,361,285149,2459,1090821,393,1019,4304,18193,4238,2820,2273,386,596,769691,8948,968,349,478944,4974,1156,147097,1132,717981,503,411,95544,1259,354,521,2795,390,182,678,418,595,324,1348,4234,514,2568,1339
"6","Viral_RNA",75,2,3,14,11,8,12,6,8,23,4,82,11,1,2794,3,344,7,55,19,129,4,8,11,0,11,5,5,14,5,13,9,10,12,3,8,4,56,43,6,2,4,1,25,10,84,6,7,4,5,4,4,9,23
