"","Viral_Species","Vogue1A.01.61","Vogue1A.01.106","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77","Vogue1A.01.101"
"61",11652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"62",11676,1,1,0,0,1,0,1,0,0,0,0,4,1,1,1,1,0,0,0,0,3
"63",11723,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"64",11775,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"65",12049,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"66",12059,33,1,3,6,3,7,2,5,1,0,0,5,1,1586,4,2,1,1,2,1,0
"67",12062,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0
"68",12067,18,0,2,2,0,1,1,0,0,0,0,0,0,408,1,0,2,0,1,1,0
"69",12071,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"70",12072,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",12234,0,0,0,0,0,0,0,1,0,0,58,0,0,0,22,0,0,0,0,0,0
"72",12239,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"73",12241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"74",12242,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"75",12253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
"76",12333,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"77",12348,1,0,0,0,0,4,1,0,0,0,0,0,15588,0,NA,NA,NA,NA,NA,NA,NA
"78",12402,0,0,0,0,0,0,0,1,43,2,0,0,0,0,1,0,0,0,1,1,0
"79",12417,23,6,0,0,0,2,1,0,415,27,1,429,2440,709,0,0,0,781,0,0,0
