"","Virus_Type","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Papillomaviridae",95421,189,111,130,433,167,43,88
"2","Phage",9128,11,64,560,131,12,1596,19820
"3","ssRNA_RT",0,2,2,0,5,1,3,3
"4","unclassified_viruses",44,0,1,51,0,1,153,2
"5","Viral_DNA",112,1064,231,383,2342,243,345,92
"6","Viral_RNA",42,6,2,4,1,3,24,10
