"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"74","Lipothrixviridae",0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,4,0,0,0,0,0
"75","1168848",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"76","1351702",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"77","207656",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"78","Reoviridae",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"79","1325731",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"80","1168837",0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
"81","749413",0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,15,0,0,0,0
"82","447909",0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,1,0,0,0,0,0
"83","444878",0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0
"84","Inoviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"85","1273752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"86","186616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"87","1608084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"88","1273746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"89","Virgaviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"90","1392231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"91","1391034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"92","Hepadnaviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0
"93","1608123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"94","1211417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"95","12333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"96","1425358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"97","291401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"98","33771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"99","51368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"100","1168833",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"101","1526652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"102","743570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"103","Caliciviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"104","Microviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"105","702718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
