"","Viral_Species","Vogue1B2.01.11","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15"
"140",235201,0,52,0,0,0,0,0,0
"141",242527,0,10,0,0,0,0,0,0
"142",247268,0,2,0,0,0,0,0,0
"143",251749,2,1,1,3,0,3,3,1
"144",259901,0,7,0,0,0,0,0,0
"145",261726,0,19,0,0,0,0,0,0
"146",265522,6,0,1,3,0,2,0,0
"147",272551,0,0,0,0,0,0,0,1
"148",278008,0,1,0,0,0,0,0,0
"149",294382,0,482,1,0,0,0,0,0
"150",298334,0,0,1,0,0,0,0,0
"151",305674,0,0,0,0,1,0,0,0
"152",307454,0,1,0,0,0,1,0,0
"153",307467,0,0,0,0,0,1,0,0
"154",315953,0,0,0,0,0,0,1,0
"155",317878,0,1,0,0,0,1,0,0
"156",320839,0,0,0,0,24,0,0,0
"157",320840,0,2,0,0,0,0,0,0
"158",322019,5,1,1,1,0,0,3,0
"159",329157,1,7,0,1,16,0,0,0
"160",331278,0,0,0,0,25,2,0,0
"161",332054,0,0,0,0,0,1,0,0
"162",333750,0,5,0,0,0,0,0,0
"163",333754,5,15,2,1,2,17,0,1
"164",333760,0,256,0,0,0,0,0,0
"165",333764,0,15,0,0,0,0,0,0
"166",333765,2,9776,2,0,1,0,1,0
"167",333767,0,0,8,4,5,3,0,2
"168",333769,0,0,0,0,1,3,0,0
"169",333770,9,1,0,11,6,55,1,4
"170",333771,0,0,0,1,0,6,1,1
"171",333772,2,1,0,0,2,6,0,2
"172",334210,14,6,59,8,28,22,3,10
"173",334523,0,262,0,0,0,0,0,0
"174",337041,0,182,0,0,0,0,0,0
"175",337042,0,19,0,0,0,0,0,0
"176",337050,2,6385,2,7,1,2,0,3
"177",337051,0,17,0,0,0,0,0,0
"178",338473,0,25,0,0,0,0,0,0
"179",342409,0,0,0,0,0,1,3,0
"180",342564,0,3,0,0,0,0,0,0
"181",344005,0,0,0,0,1,0,0,0
"182",346673,15,10,16,35,1,25,75,8
"183",346932,0,0,0,0,0,1,0,0
"184",350104,0,77,0,0,0,0,0,0
"185",359919,0,0,0,0,0,1,0,0
"186",363555,1,5,0,2,15,0,331,0
"187",372443,18,4,25,54,2,43,110,16
"188",372457,0,85,0,0,0,0,0,0
"189",379501,0,2,0,0,0,0,0,0
"190",380598,0,0,0,0,0,3,0,0
"191",381899,0,1,0,1,0,0,0,0
"192",384848,0,0,0,1,0,1,0,0
"193",396034,0,0,0,0,2,0,0,0
"194",413066,0,35,0,0,0,0,0,0
"195",416419,0,0,0,0,0,0,1,0
"196",419435,47,3,24,35,1,39,3,5
"197",423476,0,4,0,0,0,0,0,0
"198",427343,1,0,0,2,0,3,0,0
"199",431894,0,1,0,0,0,0,0,0
"200",432261,0,0,0,1,0,0,0,0
"201",445684,1,0,0,0,0,0,0,0
"202",447909,0,0,0,0,51,0,0,0
"203",451705,0,2,0,0,0,0,0,0
"204",471185,0,3,0,0,0,0,0,0
"205",482058,0,4,0,0,0,0,0,0
"206",490711,0,1,2,0,0,1,0,0
"207",493803,0,0,0,0,160,0,0,0
"208",496874,0,5,0,3,0,0,1,0
"209",508419,0,0,0,0,0,0,12,0
"210",537874,0,988,0,0,0,0,0,0
"211",542835,2,NA,NA,NA,NA,NA,NA,NA
"212",542836,1,9,1,0,0,1,1,19007
"213",549779,0,0,0,0,1,2,0,3
"214",558016,1,0,0,2,23,765,2,0
"215",573173,0,0,0,0,0,0,3,0
"216",573175,0,0,0,0,0,0,1,0
"217",578234,0,0,0,0,0,0,100,0
"218",632112,0,185,0,0,0,0,0,0
"219",633135,0,10,0,0,0,0,0,0
"220",644007,0,1,0,0,0,0,0,0
"221",646413,0,52,0,0,1,4,0,0
"222",654926,0,0,0,0,109,3,0,10
"223",691964,0,2,0,0,0,0,0,0
"224",693272,6,0,0,2,0,0,0,0
