"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"15","Togaviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Nimaviridae",2,4,12,4,4,8,11,9,3,3,1,2,15,4,0,12,4,0,0,3,3,1,5,0,0,4,6,0,6,3,2,0,4,0,4,7,0,6,49,0,6,1,0,16,11,1,0,3,4,0,1,4,19,0
"17","Tymoviridae",2,1,0,1,1,2,3,1,0,2,0,0,2,0,0,5,2,0,0,1,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,7,1,1,3,0,1,3,0,2,0,2,1,0,0
"18","1450746",3,0,0,2,2,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"19","1567014",3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"20","38018",3,22,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,2,0,2,3,2,33,1,0,0,0,30,0,0,1,41,0,0,0,8,0,0,0,1,0,0,0
"21","10239",5,0,11,8,8,1,1,3,5,2,2,2,749,0,5,2,0,13,0,1,1,7,75,0,10,53,137,1,59,20,72,10,2,10,8,3,256,23,3655,47,16,1,1,5,22,0,122,1,1,1,1,1,117,1
"22","1349409",5,2,2,3,3,8,2,3,4,2,2,0,1,1,3,15,4,0,0,5,0,0,5,4,0,1,0,15,5,2,1,0,7,1,1,4,2,4,4,0,18,0,3,6,0,1,0,8,3,0,7,4,4,0
"23","755273",6,0,5,4,4,4,3,9,2,6,2,2,2,2,2,5,5,0,0,5,3,0,3,3,1,5,3,1,0,0,1,0,2,0,2,3,0,3,1,0,6,1,3,9,1,0,0,3,1,0,3,0,4,0
"24","Alloherpesviridae",7,6,5,16,16,14,8,17,5,8,9,3,14,9,3,3,8,2,0,12,9,1,16,1,7,5,8,0,4,5,4,3,11,2,1,17,0,8,4,0,13,1,2,14,1,3,5,12,10,0,9,32,5,2
"25","1605721",8,1,5,13,13,6,8,10,5,12,5,7,8,2,2,4,7,2,0,15,2,2,3,2,2,14,6,7,4,7,0,1,9,2,5,5,3,8,2,0,11,0,6,12,6,0,2,7,2,2,9,14,5,0
"26","186617",10,6,1,2,2,1,2,3,3,0,2,0,1,0,0,5,1,0,0,1,1,30,0,2,2,0,1,24,43,3,1,8,1,43,4598,5,0,2,1,0,1,0,7,3,6,1,10,0,0,0,2,4,2,1
"27","Anelloviridae",10,1,0,2,2,78,3,6,0,0,0,0,4,1,0,342,1,0,0,3,1,4,2,1,0,17,3,0,100,3,2,0,3,18,55,1,1,29,13,2,94,91,0,53,24,1,0,1,2,0,4,0,1,0
