"","Var1","freq","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52"
"46","Picornaviridae",15,0,0,0,0,4,0,0,0,2,0,0,3,0,0,3,0,1,0,0,0,0,1,1,0,0
"47","Podoviridae",18935,239,38,8,154,517,582,36,492,295,175,8253,23,131,104,46,3705,124,1031,480,132,193,956,69,28,1124
"48","Polydnaviridae",2993,41,264,7,70,45,47,7,30,73,41,11,357,50,18,229,18,109,72,6,1245,32,21,179,18,3
"49","Polyomaviridae",190,5,3,0,0,0,1,0,0,22,0,4,0,0,0,0,3,0,146,1,1,1,2,0,0,1
"50","Potyviridae",6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
"51","Poxviridae",82,2,2,1,3,8,2,0,1,3,1,2,4,1,4,7,6,1,5,0,7,2,1,6,4,9
"52","Reoviridae",21,0,0,0,0,13,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0
"53","Retroviridae",651,10,34,1,19,123,23,0,8,23,7,2,32,3,5,49,13,48,73,1,65,4,9,75,10,14
"54","Rhabdoviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"55","Secoviridae",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"56","Siphoviridae",56837,2550,486,32,313,334,345,98,1335,194,418,1672,21,234,7806,198,2470,329,34190,355,127,677,1244,117,154,1138
"57","Streptococcus phage",482,0,0,0,0,0,0,0,2,0,7,5,0,0,0,0,0,0,467,0,0,0,1,0,0,0
"58","Totiviridae",19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Turriviridae",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Tymoviridae",21,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,7,1,1,3,0,1
"61","Vibrio phage",192,0,0,0,0,2,12,1,0,1,40,0,0,0,1,1,95,2,4,23,4,0,6,0,0,0
