"","var","pval","pearson"
"cor","BV..number.of.episodes.2.months.",0.474958154616479,0.17992923135333
"cor1","BV..number.of.episodes.year.",0.724539844160552,-0.0893061432796935
"cor2","BV..number.of.episodes.lifetime.",0.764061124411405,0.076107782970514
