"","Viral_Family","Vogue1A.01.61","Vogue1A.01.101","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.106","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77"
"60","38018",0,0,4,32,1,0,3,0,4,2,0,1,0,0,0,0,0,0,0,0,0
"61","396034",0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"62","44028",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0
"63","444878",0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0
"64","447909",0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0
"65","46924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"66","496874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"67","51368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"68","573174",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","702718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"70","749413",0,0,0,0,0,0,0,0,15,0,0,16,0,0,0,0,0,0,0,0,8
"71","754057",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","754068",4,2,1,1,0,4,1,0,2,0,1,2,2,0,2,1,2,0,1,3,0
"73","755272",0,0,103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"74","755273",2,4,2,0,0,2,0,1,4,0,0,0,0,0,3,1,0,3,1,1,0
"75","756277",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","764030",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0
"77","942165",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","980881",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","Adenoviridae",76,18,16,9,48,23,25,6,198,8,20,22,5,21,24,31,19,23,15,20,13
"80","Alloherpesviridae",3,1,1,0,0,1,0,1,1,0,3,3,0,1,3,0,1,1,0,0,1
"81","Alphaflexiviridae",3,2,6,1,1,3,0,0,22,3,3,5,0,1,1,1,3,1,1,1,2
"82","Anelloviridae",0,0,8,1,1,33,1,0,1,0,337,0,0,0,1,34,1,6,0,0,0
"83","Baculoviridae",10,14,5,1,7,4,9,2,12,1,9,11,6,3,2,3,5,8,1,4,6
"84","Bicaudaviridae",0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
"85","Circoviridae",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"86","Coronaviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"87","Endornaviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"88","Flaviviridae",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"89","Fuselloviridae",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1
"90","Hepadnaviridae",0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
"91","Herpesviridae",102,61,63,12,84,83,95,74,837,33,47,84,24,52,82,239,85,107,40,67,76
"92","Hytrosaviridae",0,0,0,0,0,0,1,0,119,0,0,0,0,0,0,0,0,0,1,0,1
"93","Iridoviridae",3,2,2,0,1,1,2,0,32,0,1,0,0,2,4,1,2,3,1,3,1
"94","Lipothrixviridae",0,0,0,0,0,0,0,9,0,0,3,0,0,0,1,0,0,0,0,0,0
"95","Luteoviridae",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"96","Marseilleviridae",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"97","Microviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"98","Mimiviridae",2,33,45,53,0,0,1,6,41,1,1,3,2,1,6,0,0,0,1,1,2
"99","Nimaviridae",7,1,0,0,4,2,4,0,3,0,19,2,0,0,0,4,8,5,0,0,0
"100","Nudiviridae",2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"101","Papillomaviridae",9085,188,366,12,3637,209,332,228,134,1099164,216,231,293,284918,162,197,189,227,154,1017,4048
"102","Parvoviridae",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"103","Phycodnaviridae",220,144,163,74,226,172,118,163,434,65,285,231,22,110,132,140,79,164,104,75,71
"104","Picornaviridae",72,1,5,10,3,9,6,6,1,1,0,6,1,2796,1,5,3,4,2,4,2
"105","Polydnaviridae",21,34,29,3,6,25,16,5,168,2,43,31,4,23,43,15,16,27,3,20,10
"106","Polyomaviridae",1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0
"107","Poxviridae",151,0,2,1,0,0,1,0,1,0,1,2,0,0,1,0,3,0,0,2,0
"108","Retroviridae",14,10,7,1,3,21,7,1,25,1,3,13,6,5,6,6,8,5,4,13,3
"109","Tymoviridae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Virgaviridae",0,0,0,0,0,0,0,1,0,0,63,2,0,0,0,74,0,0,0,0,0
"111","Ascoviridae",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","Reoviridae",0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,6,0,2,1,0,0
"113","Tombusviridae",0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
