"","Virus_Type","Vogue1B2.01.11","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Phage",13,9188,11,68,620,136,1601,19820
"2","ssRNA_RT",5,0,3,3,0,7,3,3
"3","unclassified_viruses",1,45,0,1,0,0,153,2
"4","Viral_DNA",422,95532,1262,354,523,2804,392,184
"5","Viral_RNA",3,45,6,2,5,1,26,10
