"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"11","Poxviridae",2,1,151,0,0,0,3,0,0,1,2,0,1,0,0,1,2,0,0,0,0,1,1,2,1,0,0,0,0,2,8,1,0,0,2,0,1,0,4,0,1,0,0,2,0,1,0,1,0,4,0,1,3,0
"12","1567014",3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0
"13","1605721",3,1,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,0,1,2,1,0,0,0,0,14,0,0,0,0,0,1,1,0,1,2,0,1,0,42,1,1,3,2,3,0,1,1,0,1,0,3,0,1
"14","38018",4,32,0,1,0,0,0,0,0,3,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,10,4,0,56,0,0,0,0,71,2,0,3,61,0,0,0,5,0,0,0,0,0,0,0
"15","Baculoviridae",5,1,10,7,4,3,5,8,1,9,4,1,10,6,1,9,11,6,3,14,2,3,7,0,1,29,4,0,25,19,9,8,7,1,3,10,0,6,2,8,12,4,25,13,3,2,6,2,4,23,8,2,5,1
"16","Alphaflexiviridae",6,1,3,1,3,1,3,1,1,0,1,0,22,2,3,3,5,0,1,2,1,0,4,0,0,19,5,0,0,1,1,0,3,0,0,4,0,5,6,9,5,0,0,2,2,26,0,1,2,0,1,1,3,0
"17","Retroviridae",6,1,14,3,5,6,7,4,4,7,1,1,10,3,1,3,13,2,5,9,6,1,7,1,4,44,1,0,6,4,0,1,3,1,0,12,0,3,11,3,2,0,2,4,4,7,0,1,2,0,2,5,1,3
"18","186617",8,8,1,0,0,2,0,0,0,0,1,0,2,0,0,6,1,0,1,1,1,6,1,0,0,2,1,18,12,1,0,3,0,28,4780,3,0,4,0,0,0,0,9,1,11,0,1,0,0,0,0,0,0,0
"19","Anelloviridae",8,1,0,1,33,34,1,6,0,1,0,0,1,0,0,337,0,0,0,0,1,2,0,0,0,32,7,0,63,4,1,0,1,13,37,0,0,22,6,8,65,69,0,31,21,0,0,0,1,0,0,0,0,0
"20","Podoviridae",9,15,26,23,18,3,9,29,3,9,3,198,847,6,26,704,13,7,112,3,26,121,10,1,5,25,32,11,226,18,8,2488,4,15,16,7,182,11,510,264,17,12,129,6,22,133,837,3,4,187,3,2,9,791
"21","1349410",10,1,7,5,18,13,9,13,3,11,15,8,2,6,1,33,20,2,8,14,7,3,15,3,3,12,7,0,3,8,5,16,17,6,0,18,0,10,5,10,143,16,0,28,1,0,1,12,15,1,13,24,3,1
"22","Adenoviridae",16,9,75,48,23,31,19,23,11,25,20,6,198,13,6,20,21,5,16,18,11,6,13,4,21,54,24,6,13,16,9,10,13,11,13,21,28,20,28,10,12,4,9,30,5,99,8,804,9,6,17,10,25,22
"23","Polydnaviridae",29,3,21,6,25,14,15,26,2,14,20,5,1,10,2,43,31,4,17,32,16,4,11,0,12,14,6,0,5,8,34,1,52,13,1,30,0,13,8,5,1407,5,3,15,0,0,0,20,36,0,36,53,2,5
"24","139871",35,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,23,7,0,0,0,1,732,0,2,0,501,0,0,0,1,10,0,0,0,0,0,30,114,0,0,0,0,3,0,4,23,0,0,0,0,0,407,3
"25","Siphoviridae",37,12,388,38,44,0,10,24,913,9,69,79,6331,7,47,63,462,2537,836,8,14,1675,371,1,370,351,397,80,1000,203,446,459,9,249,7040,182,2497,258,32832,3768,114,215,1390,83,375,1059,6562,4,47,284,14,2,833,7
"26","Myoviridae",38,25,90,9,23,9,17,20,55,11,10,62,439,17,8,185,44,12307,500,62,20,587,125,1,72,37,253,121,89,12,67,481,20,59,188,25,114,118,7947,4245,3,30,97,57,66,104,381,2,12,85,5,7,335,12
"27","Mimiviridae",45,53,2,0,0,0,0,0,1,1,1,6,41,2,1,1,3,2,1,13,6,4,0,1,2,0,3,11,14,1,1,2,1,291,18,1,0,1,12,76,1,46,6,2,3,0,3,0,3,49,0,3,8,3
"28","1",60,26,137,62,42,3,8,15,337,29,151,76,607,10,15,38,32,14742,446,5,13,347,1232,1,146,58,451,57,252,975,102,1192,8,838,3207,83,39,206,6882,2155,43,366,418,110,936,954,5318,1,38,107,5,2,1801,12
