"","Virus_Type","Vogue1A.01.61","Vogue1A.01.101","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.106","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77"
"1","dsDNA_RT",0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
"2","Phage",741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","ssRNA_RT",14,10,7,1,3,21,7,1,25,1,3,13,6,5,6,6,8,5,4,13,3
"4","unclassified_viruses",5,0,10,9,3,2,2,36,795,1,37,2,94,12,2,0,0,0,0,0,0
"5","Viral_DNA",9704,519,822,169,4022,582,621,526,2069,1099277,1028,655,361,285146,485,682,421,598,326,1352,4237
"6","Viral_RNA",75,4,15,11,10,12,6,8,24,4,83,14,1,2798,2,86,6,7,4,6,5
