"","Var1","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","28883",7,0,0,0,0,0,0,0
"2","Siphoviridae",7,0,3,0,0,0,8,0
"3","Podoviridae",217,1,0,10,1,2,1,19007
"4","Myoviridae",250,0,0,0,0,0,0,0
"5","33769",0,0,0,0,0,0,1,0
