102294,Caudovirales,,,,,,,,,,,,,,,,,,,,,,,,
10239,Other Viruses (unclassified),,,,,,,,,,,,,,,,,,,,,,,,
10586,Papillomaviridae,,,,,,,,,,,,,,,,,,,,,,,,
10596,Papillomaviridae,,,,,,,,,,,,,,,,,,,,,,,,
12333,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
28883,Caudovirales,,,,,,,,,,,,,,,,,,,,,,,,
33769,Lactobacillus phage,,,,,,,,,,,,,,,,,,,,,,,,
33771,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
35237,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
35342,Other ssDNA viruses,,,,,,,,,,,,,,,,,,,,,,,,
38018,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
51368,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
128706,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
129861,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
139871,Lactobacillus phage,,,,,,,,,,,,,,,,,,,,,,,,
156614,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
186616,Other Viruses (unclassified),,,,,,,,,,,,,,,,,,,,,,,,
186617,Other Viruses (unclassified),,,,,,,,,,,,,,,,,,,,,,,,
207656,Caudovirales,,,,,,,,,,,,,,,,,,,,,,,,
218667,Other ssRNA positive viruses,,,,,,,,,,,,,,,,,,,,,,,,
278008,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
291401,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
306552,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
334523,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
340016,Other Viruses (unclassified),,,,,,,,,,,,,,,,,,,,,,,,
350104,Streptococcus phage,,,,,,,,,,,,,,,,,,,,,,,,
382262,Caudovirales,,,,,,,,,,,,,,,,,,,,,,,,
396034,Caudovirales,,,,,,,,,,,,,,,,,,,,,,,,
432371,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
444861,Caudovirales,,,,,,,,,,,,,,,,,,,,,,,,
444878,Caudovirales,,,,,,,,,,,,,,,,,,,,,,,,
447909,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
548681,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
571950,Streptococcus phage,,,,,,,,,,,,,,,,,,,,,,,,
573173,Vibrio phage,,,,,,,,,,,,,,,,,,,,,,,,
573174,Vibrio phage,,,,,,,,,,,,,,,,,,,,,,,,
573175,Vibrio phage,,,,,,,,,,,,,,,,,,,,,,,,
702718,Other ssDNA viruses,,,,,,,,,,,,,,,,,,,,,,,,
743563,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
743570,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
743579,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
743582,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
749413,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
754044,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
754057,Vibrio phage,,,,,,,,,,,,,,,,,,,,,,,,
754060,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
754068,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
754069,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
755272,Reoviridae,,,,,,,,,,,,,,,,,,,,,,,,
755273,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
756277,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
870469,Streptococcus phage,,,,,,,,,,,,,,,,,,,,,,,,
870471,Streptococcus phage,,,,,,,,,,,,,,,,,,,,,,,,
870475,Streptococcus phage,,,,,,,,,,,,,,,,,,,,,,,,
911573,Caudovirales,,,,,,,,,,,,,,,,,,,,,,,,
938080,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
980881,Lactobacillus phage,,,,,,,,,,,,,,,,,,,,,,,,
997821,Other ssRNA negative viruses,,,,,,,,,,,,,,,,,,,,,,,,
1034805,Other Viruses (unclassified),,,,,,,,,,,,,,,,,,,,,,,,
1109713,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
1109714,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
1168812,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
1168833,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
1168837,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
1168843,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
1168848,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
1211387,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
1211417,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
1224525,Other ssRNA positive viruses,,,,,,,,,,,,,,,,,,,,,,,,
1249501,Other ssDNA viruses,,,,,,,,,,,,,,,,,,,,,,,,
1262527,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
1262530,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
1273746,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
1273752,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
1273755,Other dsDNA Viruses,,,,,,,,,,,,,,,,,,,,,,,,
1289595,Streptococcus phage,,,,,,,,,,,,,,,,,,,,,,,,
1289600,Streptococcus phage,,,,,,,,,,,,,,,,,,,,,,,,
1303346,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
1325731,Other Phages,,,,,,,,,,,,,,,,,,,,,,,,
1328032,Other ssDNA viruses,,,,,,,,,,,,,,,,,,,,,,,,
1349409,Pandoraviridae ,,,,,,,,,,,,,,,,,,,,,,,,
1349410,Pandoraviridae ,,,,,,,,,,,,,,,,,,,,,,,,
